pitch_type,launch_speed,launch_angle,hc_x,hc_y,events,game_date
SL,89.6,48.0,170.92,94.22,field_out,2016-10-02
SI,91.1,16.0,169.7,105.73,single,2016-10-02
SI,82.9,-21.0,98.19,163.91,field_out,2016-10-01
SI,61.7,-13.0,112.74,160.27,field_out,2016-10-01
FF,82.9,-21.0,110.92,153.61,field_out,2016-09-30
CH,101.0,4.0,70.32,101.49,single,2016-09-28
FF,91.9,18.0,170.92,94.82,field_out,2016-09-28
SI,95.3,35.0,214.55,103.31,field_out,2016-09-28
SI,86.5,67.0,167.28,182.09,field_out,2016-09-27
FF,94.4,16.0,168.49,119.67,single,2016-09-27
CH,107.7,31.0,48.03,49.37,home_run,2016-09-26
FF,110.1,-8.0,121.36,85.73,single,2016-09-26
SL,96.7,6.0,136.03,142.25,field_out,2016-09-25
SL,101.8,-4.0,106.08,164.12,field_out,2016-09-25
FC,96.6,-6.0,150.25,174.3,grounded_into_double_play,2016-09-25
FF,77.0,-8.0,104.56,150.9,field_out,2016-09-24
SL,77.0,21.0,126.39,97.49,single,2016-09-24
SL,78.4,15.0,43.14,115.29,double,2016-09-24
FF,73.9,25.0,126.9,89.86,single,2016-09-23
FC,94.5,37.0,195.43,71.04,field_out,2016-09-23
SI,82.9,-21.0,100.5,166.16,field_out,2016-09-23
SL,108.9,36.0,59.38,40.01,home_run,2016-09-21
FF,98.5,6.0,144.16,150.9,field_out,2016-09-21
CU,82.9,-21.0,110.65,176.33,field_out,2016-09-21
SI,105.6,0.0,167.51,102.07,single,2016-09-20
FF,102.5,-3.0,199.49,126.48,triple,2016-09-19
CH,108.3,-1.0,116.74,142.76,field_error,2016-09-19
SL,82.9,-21.0,108.62,152.93,field_out,2016-09-19
FF,78.4,-5.0,106.59,166.67,field_out,2016-09-19
SI,84.0,14.0,180.14,139.67,double,2016-09-18
SI,82.9,-21.0,103.18,159.06,field_out,2016-09-18
FF,109.1,18.0,54.7,92.4,field_out,2016-09-18
CH,61.8,-26.0,143.78,178.45,field_error,2016-09-17
CH,95.6,5.0,72.88,103.31,single,2016-09-17
FC,91.1,3.0,124.99,79.07,single,2016-09-17
SI,112.6,2.0,104.39,148.76,field_out,2016-09-17
KN,76.8,24.0,83.18,128.15,single,2016-09-16
SL,94.3,37.0,163.17,75.43,field_out,2016-09-16
KN,94.3,11.0,85.6,145.73,single,2016-09-16
FF,104.8,20.0,212.87,97.25,field_out,2016-09-16
CU,100.3,25.0,197.11,82.7,field_out,2016-09-15
FF,102.8,22.0,203.17,86.34,field_out,2016-09-15
SI,82.9,-21.0,96.98,169.97,field_out,2016-09-14
SL,69.2,13.0,147.28,150.58,field_out,2016-09-14
FS,82.9,-21.0,100.08,171.79,force_out,2016-09-14
SL,97.6,33.0,169.17,63.92,field_out,2016-09-12
FF,106.1,-4.0,106.14,149.97,force_out,2016-09-12
FS,62.5,-50.0,114.02,163.91,fielders_choice,2016-09-12
FF,75.4,28.0,151.59,103.31,single,2016-09-12
SI,102.8,23.0,212.19,103.31,sac_fly,2016-09-10
SI,105.8,-3.0,116.44,94.82,single,2016-09-10
FF,110.0,7.0,95.84,149.97,single,2016-09-10
ST,58.3,5.0,149.17,149.37,force_out,2016-09-09
SI,90.3,-17.0,123.11,87.55,single,2016-09-09
SI,80.0,69.0,183.01,166.6,field_out,2016-09-06
FF,94.7,-35.0,116.76,146.28,field_out,2016-09-06
FF,97.7,-3.0,72.67,114.75,single,2016-09-05
SL,100.0,9.0,82.97,103.24,single,2016-09-05
SI,108.1,3.0,171.45,101.42,single,2016-09-05
FS,90.3,3.0,104.56,151.91,field_out,2016-09-04
SL,84.4,51.0,77.66,99.52,field_out,2016-09-03
CU,104.3,-2.0,108.62,93.42,single,2016-09-03
FF,110.6,16.0,105.58,18.14,home_run,2016-09-03
SI,100.1,21.0,67.0,53.24,triple,2016-09-03
SL,88.2,58.0,163.45,123.43,field_out,2016-09-03
SI,103.8,36.0,184.77,45.1,home_run,2016-09-02
CU,79.4,8.0,107.61,151.91,field_out,2016-09-02
SL,94.5,31.0,106.59,52.22,field_out,2016-09-02
CH,113.4,17.0,52.2,79.07,double,2016-08-30
SI,96.1,-5.0,100.08,164.52,field_out,2016-08-30
SL,107.0,20.0,176.44,63.31,double,2016-08-30
SI,77.6,8.0,124.93,183.3,single,2016-08-30
CH,82.9,16.0,55.37,122.09,double,2016-08-29
FF,99.2,9.0,118.39,73.61,single,2016-08-29
SI,74.2,-1.0,100.82,167.55,field_out,2016-08-29
FF,100.3,27.0,126.88,22.1,home_run,2016-08-29
SL,109.3,3.0,124.36,95.96,single,2016-08-28
SI,82.9,-21.0,102.53,150.39,field_out,2016-08-28
CH,102.1,42.0,116.74,69.01,field_out,2016-08-26
SL,89.0,55.0,185.78,134.11,field_out,2016-08-26
CH,90.3,-17.0,93.9,130.55,single,2016-08-25
FF,90.4,32.0,195.43,103.09,field_out,2016-08-25
FF,94.4,15.0,177.66,133.6,single,2016-08-25
SI,102.9,9.0,96.44,130.04,single,2016-08-25
FF,90.1,-12.0,100.5,171.24,single,2016-08-24
SI,92.6,6.0,197.46,129.53,double,2016-08-24
FF,77.5,45.0,193.9,130.04,field_out,2016-08-24
CH,106.1,25.0,38.57,60.87,home_run,2016-08-24
KN,79.3,3.0,97.96,168.19,field_out,2016-08-23
KN,106.1,30.0,146.19,40.01,field_out,2016-08-23
FF,107.7,9.0,179.18,91.89,single,2016-08-23
SI,82.4,17.0,108.09,121.49,single,2016-08-21
SL,90.7,34.0,152.94,66.95,field_out,2016-08-21
SL,76.1,-14.0,115.97,162.09,field_out,2016-08-20
SI,109.2,2.0,126.14,177.85,single,2016-08-19
SL,102.9,11.0,109.17,116.64,single,2016-08-19
FF,99.5,21.0,128.83,74.82,field_out,2016-08-18
SI,102.3,3.0,102.77,146.94,field_out,2016-08-18
FF,59.7,2.0,107.55,166.94,force_out,2016-08-17
SI,104.9,1.0,114.83,93.01,single,2016-08-17
FS,92.5,28.0,129.37,51.19,sac_fly,2016-08-16
CU,108.2,27.0,134.49,20.28,home_run,2016-08-15
CU,95.9,30.0,66.61,66.95,field_out,2016-08-15
CH,91.3,22.0,74.1,87.32,field_out,2016-08-13
SL,87.1,-22.0,61.92,134.11,double,2016-08-12
FC,64.0,-32.0,106.08,168.7,field_out,2016-08-12
CU,92.0,42.0,208.12,99.52,field_out,2016-08-11
FF,105.1,23.0,225.38,73.58,home_run,2016-08-11
FF,105.6,1.0,97.45,150.9,single,2016-08-10
FF,101.5,37.0,167.0,71.04,field_out,2016-08-10
FF,110.6,15.0,130.45,64.94,field_out,2016-08-09
FF,104.4,21.0,126.39,33.91,triple,2016-08-06
FS,110.2,25.0,71.57,19.67,home_run,2016-08-06
FC,87.1,46.0,174.61,102.07,field_out,2016-08-06
CH,110.4,32.0,31.46,44.59,home_run,2016-08-05
FF,73.1,16.0,158.93,143.3,single,2016-08-03
SI,69.7,27.0,172.26,121.49,single,2016-08-03
CU,93.2,14.0,77.72,122.09,single,2016-08-03
FF,75.1,-5.0,104.39,163.91,field_error,2016-08-03
CH,85.2,39.0,137.11,80.28,field_out,2016-08-02
FF,88.2,18.0,126.81,73.61,single,2016-08-02
KC,95.2,5.0,145.46,148.76,field_out,2016-07-30
KC,97.8,11.0,90.32,130.58,single,2016-07-30
CU,93.9,56.0,148.49,104.52,field_out,2016-07-29
FF,84.4,28.0,112.13,75.43,field_out,2016-07-29
CH,106.0,8.0,103.04,164.52,field_out,2016-07-29
CU,97.6,46.0,164.86,77.85,field_out,2016-07-29
FC,77.4,1.0,105.8,152.4,field_out,2016-07-28
SI,94.0,-5.0,103.99,148.76,force_out,2016-07-28
SI,108.6,-5.0,107.62,155.43,field_out,2016-07-28
SI,90.3,-17.0,103.99,178.45,single,2016-07-28
CU,75.2,43.0,169.54,125.47,single,2016-07-27
FF,101.4,30.0,183.24,62.39,field_out,2016-07-27
SI,68.5,13.0,97.45,117.84,single,2016-07-26
SL,89.4,67.0,139.08,150.39,field_out,2016-07-26
SI,99.2,5.0,220.3,103.59,double,2016-07-26
SI,101.8,32.0,207.61,75.62,field_out,2016-07-25
SI,100.5,28.0,198.98,78.67,field_out,2016-07-25
CH,80.0,69.0,143.14,134.62,field_out,2016-07-24
SL,83.6,19.0,45.17,113.77,double,2016-07-24
FF,75.5,30.0,122.33,110.21,field_out,2016-07-23
FF,86.2,51.0,178.53,117.25,field_out,2016-07-20
CH,89.8,23.0,168.22,80.28,field_out,2016-07-20
FF,51.4,1.0,151.86,154.82,single,2016-07-20
SI,109.5,18.0,122.77,41.49,double,2016-07-19
SI,81.3,39.0,198.52,118.46,field_out,2016-07-19
FC,79.3,29.0,186.4,109.97,field_out,2016-07-19
FF,110.8,21.0,42.17,46.95,home_run,2016-07-18
FF,93.1,53.0,79.14,107.55,field_out,2016-07-18
CU,105.6,21.0,79.74,53.61,double,2016-07-17
FF,89.9,51.0,168.83,102.1,field_out,2016-07-17
SI,108.5,16.0,142.77,71.19,field_out,2016-07-17
KC,102.3,-5.0,107.62,144.52,field_out,2016-07-16
FF,93.2,40.0,204.58,113.61,field_out,2016-07-16
FF,82.7,-32.0,147.62,157.85,field_out,2016-07-16
SL,76.0,-4.0,114.48,148.69,field_out,2016-07-15
FF,61.7,13.0,118.78,144.29,force_out,2016-07-10
SL,99.1,31.0,210.15,93.42,double,2016-07-10
FF,87.2,52.0,161.42,99.02,field_out,2016-07-09
FF,79.0,-24.0,102.02,156.49,fielders_choice,2016-07-08
SI,105.0,-2.0,102.02,148.35,single,2016-07-08
FF,69.2,19.0,158.37,123.94,single,2016-07-08
FF,88.7,23.0,134.0,90.88,sac_fly,2016-07-08
FF,94.9,22.0,96.07,74.82,field_out,2016-07-07
FC,102.8,33.0,43.58,43.85,home_run,2016-07-06
FF,93.9,9.0,116.3,157.78,force_out,2016-07-06
FF,100.4,42.0,183.57,84.45,field_out,2016-07-06
SI,105.7,14.0,128.19,74.82,field_out,2016-07-04
KC,76.8,-12.0,125.77,179.06,single,2016-07-04
SI,84.1,-28.0,106.98,162.7,force_out,2016-07-04
FF,101.8,44.0,207.15,69.97,field_out,2016-07-03
SL,80.1,0.0,123.43,143.98,field_out,2016-07-03
SI,87.6,32.0,131.86,78.37,field_out,2016-07-02
SL,72.5,47.0,180.0,133.1,field_out,2016-07-02
FF,104.3,20.0,211.93,58.1,double,2016-07-02
KN,110.5,-1.0,139.08,145.81,field_out,2016-07-01
CU,95.2,7.0,36.54,110.21,double,2016-07-01
SL,105.8,-2.0,77.15,99.52,single,2016-07-01
SI,109.3,3.0,112.67,79.61,single,2016-06-29
FF,101.6,22.0,193.27,100.21,double,2016-06-29
SI,67.4,-13.0,103.99,171.18,fielders_choice,2016-06-28
SI,72.1,50.0,122.77,118.46,single,2016-06-28
SI,74.1,30.0,157.92,125.12,field_out,2016-06-28
FF,93.1,32.0,180.61,147.55,double,2016-06-27
CU,101.8,27.0,67.29,53.01,home_run,2016-06-27
FF,71.6,-14.0,101.83,169.97,grounded_into_double_play,2016-06-27
SI,78.7,17.0,92.13,144.52,double,2016-06-27
SL,72.5,-21.0,104.86,148.15,force_out,2016-06-26
FF,101.9,39.0,115.16,20.28,home_run,2016-06-26
SL,85.0,-3.0,78.2,116.64,single,2016-06-26
FC,90.5,8.0,125.26,74.22,single,2016-06-26
CH,90.8,63.0,144.05,122.7,field_out,2016-06-25
CH,78.9,-13.0,84.66,122.09,single,2016-06-25
FF,99.1,5.0,85.87,113.61,single,2016-06-25
CU,96.2,33.0,46.48,64.52,home_run,2016-06-25
FC,79.8,-1.0,102.57,146.94,single,2016-06-23
SL,78.0,-1.0,126.81,184.51,single,2016-06-23
SI,73.7,-1.0,100.75,165.12,field_out,2016-06-23
FC,108.4,13.0,93.9,111.22,field_out,2016-06-22
KC,76.0,4.0,104.05,155.98,field_out,2016-06-22
CU,89.2,39.0,178.68,141.74,field_out,2016-06-22
FF,89.2,39.0,152.28,95.46,field_out,2016-06-20
SI,82.9,-21.0,141.11,182.43,field_out,2016-06-20
SI,74.2,-9.0,109.64,159.04,field_error,2016-06-20
SI,100.2,41.0,206.87,79.61,field_out,2016-06-19
CU,98.9,12.0,69.3,117.78,single,2016-06-19
FF,85.8,13.0,145.05,151.72,field_out,2016-06-19
SI,87.6,41.0,197.78,109.91,field_out,2016-06-19
FF,70.0,45.0,176.57,125.06,double,2016-06-18
FF,97.0,32.0,108.09,40.21,field_out,2016-06-18
FF,80.5,37.0,109.3,76.58,field_out,2016-06-18
FC,101.1,7.0,102.03,162.02,field_out,2016-06-17
SI,95.4,-1.0,116.57,145.06,field_out,2016-06-17
FF,81.2,38.0,192.32,106.88,field_out,2016-06-17
CH,106.1,4.0,104.39,149.37,field_error,2016-06-15
KC,75.4,10.0,134.08,146.34,field_out,2016-06-15
FF,89.7,47.0,194.69,118.46,field_out,2016-06-14
SL,85.9,-10.0,100.75,162.7,field_out,2016-06-14
FF,106.7,20.0,164.39,56.64,double,2016-06-14
SL,78.1,-4.0,104.12,150.58,field_out,2016-06-13
SL,86.1,28.0,127.75,71.79,field_out,2016-06-13
SI,108.9,3.0,108.36,89.98,single,2016-06-13
SI,104.3,30.0,131.39,40.28,field_out,2016-06-13
CH,105.7,6.0,97.86,166.94,single,2016-06-12
KC,108.2,13.0,108.16,71.79,single,2016-06-11
SI,84.5,24.0,199.67,122.7,single,2016-06-11
CU,79.6,4.0,104.18,167.48,field_out,2016-06-10
CH,69.4,-19.0,107.55,173.61,field_out,2016-06-10
SL,101.2,-1.0,150.24,168.08,field_out,2016-06-10
SI,102.7,32.0,181.21,56.8,field_out,2016-06-09
CU,88.9,-11.0,65.47,134.11,double,2016-06-09
SI,70.8,-39.0,95.93,166.67,field_out,2016-06-09
FS,115.0,19.0,128.93,35.94,double,2016-06-08
CH,83.6,-26.0,105.58,159.04,force_out,2016-06-08
SL,64.5,-40.0,150.25,166.67,field_out,2016-06-08
FS,109.2,11.0,118.78,73.58,single,2016-06-08
FF,109.8,27.0,184.77,27.81,home_run,2016-06-08
SL,72.0,-12.0,127.91,179.38,field_out,2016-06-07
KC,91.2,42.0,203.55,85.79,field_out,2016-06-07
SI,102.6,-5.0,105.58,151.91,field_out,2016-06-06
FS,97.6,17.0,116.24,75.62,field_out,2016-06-06
FF,108.8,-4.0,106.59,169.21,field_out,2016-06-05
FF,85.7,24.0,136.03,79.69,field_out,2016-06-05
SL,70.7,19.0,179.18,125.47,single,2016-06-05
SI,68.6,44.0,98.47,111.73,field_out,2016-06-05
CH,94.4,31.0,52.78,59.34,field_out,2016-06-04
SI,92.6,29.0,192.89,87.83,field_out,2016-06-04
CH,80.0,69.0,99.49,151.91,field_out,2016-06-04
CH,117.1,12.0,69.03,129.3,single,2016-06-03
SI,90.9,-5.0,107.21,175.36,field_out,2016-06-03
SI,110.4,8.0,120.54,86.88,single,2016-06-03
FC,82.9,-21.0,133.32,192.11,field_out,2016-06-01
FF,108.7,40.0,123.63,30.91,home_run,2016-05-31
FF,71.1,2.0,136.96,156.35,field_out,2016-05-31
SL,106.5,9.0,96.36,138.17,single,2016-05-31
FF,85.8,65.0,147.26,147.26,field_out,2016-05-30
SI,96.3,-10.0,119.39,132.72,single,2016-05-29
SI,107.5,18.0,122.42,63.63,field_out,2016-05-29
SI,83.1,-11.0,103.02,154.54,field_out,2016-05-29
CH,71.3,61.0,173.32,146.66,field_out,2016-05-28
SI,108.3,19.0,167.87,47.88,home_run,2016-05-28
SI,79.0,-9.0,113.93,149.08,field_out,2016-05-28
FF,112.9,18.0,119.99,43.63,double,2016-05-27
FF,93.2,34.0,182.75,70.7,sac_fly,2016-05-25
FF,104.5,17.0,65.99,101.73,field_out,2016-05-25
FF,89.0,45.0,128.43,87.49,field_out,2016-05-25
SL,101.5,45.0,152.29,111.39,field_out,2016-05-25
FF,109.7,18.0,171.07,41.2,double,2016-05-24
CH,92.9,18.0,120.82,95.62,single,2016-05-23
SL,109.0,14.0,57.87,120.55,double,2016-05-23
SI,56.6,0.0,118.79,148.02,grounded_into_double_play,2016-05-23
SI,90.8,24.0,146.66,73.93,field_out,2016-05-22
FF,53.9,32.0,167.26,147.87,single,2016-05-22
FF,97.4,8.0,73.33,112.11,single,2016-05-21
SI,82.9,-21.0,143.02,146.05,field_out,2016-05-21
SI,82.6,22.0,173.93,117.57,single,2016-05-20
SI,71.4,-5.0,110.9,155.14,field_out,2016-05-20
SL,93.1,-17.0,103.63,167.26,field_out,2016-05-20
FS,82.9,-21.0,144.84,150.9,field_out,2016-05-20
FF,62.3,9.0,155.75,165.44,fielders_choice_out,2016-05-20
CU,102.7,27.0,85.45,44.85,home_run,2016-05-19
CU,107.9,5.0,73.93,112.11,single,2016-05-19
SL,74.9,-4.0,128.48,184.23,force_out,2016-05-19
SL,94.1,6.0,99.39,96.36,single,2016-05-18
FC,113.2,26.0,21.82,71.51,home_run,2016-05-18
CH,91.6,-8.0,67.27,111.51,single,2016-05-18
SL,81.3,12.0,101.81,166.05,field_out,2016-05-18
CU,92.8,33.0,160.49,67.14,field_out,2016-05-17
SL,100.3,4.0,105.11,152.08,field_out,2016-05-17
CU,106.2,1.0,94.42,126.65,single,2016-05-16
SI,82.9,-21.0,104.06,170.4,field_out,2016-05-16
FF,104.3,20.0,98.48,48.83,double,2016-05-16
SL,70.3,-23.0,106.6,158.7,field_out,2016-05-16
CH,107.6,5.0,121.83,93.59,single,2016-05-15
CH,82.9,-21.0,106.6,168.36,force_out,2016-05-15
SI,86.4,16.0,195.44,111.39,single,2016-05-15
FF,82.6,79.0,150.26,200.91,field_out,2016-05-14
FS,99.0,-6.0,101.53,166.33,grounded_into_double_play,2016-05-14
SI,109.0,11.0,76.14,109.87,single,2016-05-14
FF,104.3,27.0,30.46,66.63,home_run,2016-05-14
FF,112.0,14.0,184.78,96.13,field_out,2016-05-13
SI,70.3,-17.0,106.09,167.34,force_out,2016-05-13
SI,76.7,49.0,178.69,123.6,double,2016-05-13
FC,74.8,5.0,151.51,147.87,single,2016-05-12
SI,111.9,10.0,105.45,147.87,field_out,2016-05-12
CU,91.7,-1.0,102.42,166.05,field_out,2016-05-12
CH,108.9,-7.0,115.14,150.29,grounded_into_double_play,2016-05-11
SI,99.8,-28.0,116.96,147.26,field_out,2016-05-11
CH,78.0,12.0,109.08,147.26,field_out,2016-05-11
FF,98.7,35.0,148.48,52.72,field_out,2016-05-11
SI,98.6,35.0,190.9,85.45,field_out,2016-05-10
FF,112.6,3.0,105.45,83.02,single,2016-05-10
FC,100.8,7.0,98.18,100.6,single,2016-05-08
FF,93.7,47.0,202.41,113.93,field_out,2016-05-08
SL,79.9,19.0,110.3,93.93,single,2016-05-07
SI,50.3,-24.0,103.63,167.87,field_out,2016-05-07
SI,97.4,11.0,176.35,99.39,single,2016-05-07
SL,82.9,-21.0,137.05,184.64,field_out,2016-05-06
CH,99.8,0.0,96.93,166.84,field_out,2016-05-06
CU,98.4,8.0,110.66,154.12,field_out,2016-05-04
CU,99.6,24.0,123.86,36.62,triple,2016-05-04
CU,100.2,27.0,229.45,81.38,home_run,2016-05-04
FF,89.1,19.0,169.74,107.23,field_out,2016-05-03
FS,77.0,12.0,193.11,125.52,single,2016-05-03
CU,98.8,-5.0,97.57,165.67,field_out,2016-05-03
SL,101.3,31.0,134.67,27.95,home_run,2016-05-02
SL,92.0,20.0,190.57,97.57,field_out,2016-05-02
KC,69.0,47.0,182.95,144.84,single,2016-05-02
CU,87.4,16.0,71.15,114.34,single,2016-05-02
SI,90.3,-17.0,59.97,108.75,single,2016-05-02
FC,82.9,-21.0,106.09,165.31,force_out,2016-05-01
SI,94.3,-9.0,99.5,164.29,field_out,2016-05-01
SI,102.6,20.0,207.11,95.62,double,2016-05-01
SI,93.2,22.0,109.65,76.81,field_out,2016-04-30
KC,100.2,34.0,188.84,52.9,field_out,2016-04-30
SL,91.7,29.0,160.92,61.55,field_out,2016-04-29
SL,83.8,43.0,139.09,106.31,field_out,2016-04-29
FF,77.1,27.0,116.76,96.13,single,2016-04-29
SI,93.1,16.0,203.05,116.48,double,2016-04-29
SL,95.9,25.0,62.54,81.38,field_out,2016-04-27
FF,105.9,24.0,153.52,33.06,home_run,2016-04-27
SL,92.7,60.0,135.94,126.65,field_out,2016-04-27
FF,96.7,44.0,212.44,108.34,field_out,2016-04-26
FF,74.9,65.0,154.55,156.66,field_out,2016-04-25
FF,114.4,18.0,57.37,58.49,home_run,2016-04-25
FF,80.0,69.0,177.81,174.46,field_out,2016-04-24
SL,98.2,2.0,72.36,110.38,single,2016-04-24
SL,80.0,69.0,130.77,222.28,field_out,2016-04-24
SI,106.2,28.0,137.57,21.82,home_run,2016-04-23
CU,92.2,22.0,167.87,73.33,double,2016-04-23
FF,103.8,0.0,96.96,166.05,field_out,2016-04-23
SI,103.1,17.0,72.12,98.18,field_out,2016-04-22
FF,74.1,39.0,146.66,95.15,single,2016-04-22
SI,87.0,39.0,73.33,99.99,field_out,2016-04-22
FF,111.4,28.0,69.55,32.55,home_run,2016-04-21
FC,68.4,38.0,153.3,112.41,single,2016-04-21
SI,78.1,13.0,108.63,151.07,field_out,2016-04-20
SI,111.6,3.0,122.34,128.69,single,2016-04-20
SL,90.4,-5.0,126.4,89.52,single,2016-04-20
KC,91.7,1.0,108.13,170.4,single,2016-04-20
SL,82.9,-21.0,104.06,170.9,field_out,2016-04-19
FF,66.3,25.0,178.18,140.39,single,2016-04-18
FS,82.9,-21.0,97.97,171.41,field_out,2016-04-18
CU,99.4,-2.0,108.13,170.9,field_out,2016-04-18
CH,101.6,20.0,48.26,76.7,field_out,2016-04-17
SL,110.9,13.0,93.47,57.91,double,2016-04-17
SI,89.4,-25.0,113.28,151.38,force_out,2016-04-17
CH,78.1,-6.0,103.02,158.17,field_out,2016-04-15
CH,91.7,4.0,109.08,152.72,field_out,2016-04-15
SI,107.0,11.0,87.82,71.72,double,2016-04-13
SI,80.2,23.0,188.84,118.51,single,2016-04-13
SL,71.5,16.0,86.3,107.32,single,2016-04-13
CH,78.9,41.0,182.75,107.32,field_out,2016-04-13
FC,59.2,-47.0,100.0,167.34,field_out,2016-04-12
FC,86.0,46.0,129.45,91.56,field_out,2016-04-12
SI,69.8,-2.0,110.16,154.63,field_out,2016-04-12
SI,93.3,24.0,173.32,83.63,sac_fly,2016-04-10
CH,82.9,-21.0,104.84,164.84,force_out,2016-04-09
SI,72.8,-48.0,152.88,163.19,field_out,2016-04-09
FF,72.0,21.0,191.5,128.48,double,2016-04-09
CU,100.8,25.0,114.66,46.71,field_out,2016-04-08
FF,108.5,6.0,138.32,124.37,single,2016-04-08
FF,98.4,6.0,107.38,141.35,field_out,2016-04-08
CH,97.4,11.0,80.69,129.22,single,2016-04-07
SI,113.2,0.0,89.79,92.82,single,2016-04-07
FF,66.6,-3.0,118.09,145.98,field_out,2016-04-05
FC,44.7,30.0,145.02,168.87,field_out,2016-04-05
FF,93.1,18.0,185.42,126.65,field_out,2016-04-05
FF,90.2,38.0,194.75,111.39,field_out,2016-04-04
CU,81.9,13.0,148.13,143.95,field_out,2016-04-04
KC,106.7,15.0,53.81,126.65,double,2016-04-02
CH,80.4,29.0,85.79,75.79,double,2016-04-02
