events,avg_launch_speed,launch_speed_std,avg_launch_angle,launch_angle_std
double,101.12,9.057639501179834,15.04,8.13674791711447
field_error,80.4,19.6144504553828,-5.0,16.14517471774978
field_out,86.82722222222222,14.42874548086072,27.844444444444445,28.068117904597617
fielders_choice,71.2,,-1.0,
force_out,78.53999999999999,23.987459686724275,-2.0,8.406346808612328
grounded_into_double_play,79.17999999999999,7.21401413915997,-6.2,11.755849607748475
home_run,107.55238095238094,4.347931276816714,28.047619047619047,5.481464914366707
sac_fly,92.3,11.72049487009828,26.333333333333332,4.509249752822893
single,89.18688524590164,13.197303707068807,12.295081967213115,12.858647236127501
triple,101.0,12.303657992645931,17.5,3.5355339059327378
